file_name,intervention,cycle,valid,reason,k_linear_n_per_mm,intercept_n,r2,fit_n_points,fit_span_mm,fit_x0_mm,fit_x1_mm,fit_f0_n,fit_f1_n,fit_selection_mode,flat_slope_thr_n_per_mm,flat_filter_reason,theta_start_deg,non_neutral_start
6 - Posterior Release,Posterior Release,7,True,ok,7.15151264953679,5.154838417014581,0.9914229824510148,122.0,8.34948744265548,0.0060788270995881,8.355566269755068,4.761935868515003,67.0022859275958,strict_initial_window,2.456121302744203,ok,-0.0021080260771911,False
6 - Posterior Release,Posterior Release,8,True,ok,14.956962216021648,-2.4705990592485487,0.8892079962037759,69.0,2.016384568002383,0.7751362433385589,2.7915208113409418,13.36394231437356,34.13619490210569,fallback_initial_window,2.3299677587353886,ok,0.0112246363786187,False
6 - Posterior Release,Posterior Release,9,True,ok,7.479796670872911,23.79877285348233,0.9892836543466575,53.0,5.226113772100774,1.1745533971858648,6.400667169286639,29.083769137389798,72.43064144712665,strict_initial_window,3.243006118980289,ok,0.0059272328451878,False
6 - Posterior Release,Posterior Release,10,True,ok,15.760518810935636,-6.952370464964794,0.8695816835100072,34.0,3.2596633112736293,0.0672258544629604,3.3268891657365898,0.0,40.39662858397552,fallback_initial_window,3.611336897450288,ok,0.0292087490322919,False
7 - SPO,SPO,1,True,ok,7.977610094932707,-19.231061475116658,0.9945314551262538,43.0,7.918126230291119,3.204481574857421,11.12260780514854,10.6332766499257,71.82496216088398,strict_initial_window,2.051941438322478,ok,-0.0011876493975518,False
7 - SPO,SPO,2,True,ok,9.280115088602509,-32.02636266473151,0.9987351780470816,42.0,7.334813058738216,4.3802498312444405,11.715062889982656,8.677836452152892,74.09989588221234,strict_initial_window,2.1571489665922168,ok,0.0004146342547499,False
7 - SPO,SPO,3,True,ok,8.338947661128758,-21.42396333630645,0.979365590964348,50.0,8.263962541290448,3.228290183011987,11.492252724302435,8.81767540160585,75.23419251220972,strict_initial_window,1.986612496685623,ok,-0.0092614200331277,False
7 - SPO,SPO,4,False,transition_flagged_excluded,,,,,,,,,,,,,5.49601879074061,True
7 - SPO,SPO,5,False,transition_flagged_excluded,,,,,,,,,,,,,5.948407617358574,True
7 - SPO,SPO,6,False,transition_flagged_excluded,,,,,,,,,,,,,4.220471608299167,True
7 - SPO,SPO,7,True,ok,8.639790377437615,4.029135892994228,0.973973215656315,55.0,4.183210418616115,0.5672339360519769,4.750444354668092,10.64437609341929,43.927999687982805,strict_initial_window,2.163660933313709,ok,-0.0044866958523606,False
7 - SPO,SPO,8,True,ok,3.1898410029816144,7.95209724054103,0.9944934183395482,47.0,9.216068970676227,0.0181631394249544,9.234232110101182,8.145995296851751,40.337397087864886,strict_initial_window,1.9974260166825404,ok,-0.0012952743904354,False
7 - SPO,SPO,9,True,ok,4.794300708474255,4.613012487705221,0.9928589577553296,101.0,9.201625421844712,0.0390510680415198,9.240676489886232,0.0,50.40761120847762,strict_initial_window,2.2755510517039608,ok,0.0169671751289701,False
