file_name,intervention,cycle,valid,reason,k_linear_n_per_mm,intercept_n,r2,fit_n_points,fit_span_mm,fit_x0_mm,fit_x1_mm,fit_f0_n,fit_f1_n,fit_selection_mode,flat_slope_thr_n_per_mm,flat_filter_reason
5 - FBF,FBF,10,True,ok,10.2449208046476,-0.0801955252859858,0.9728715563547016,87.0,5.618304970733173,1.1669692709088733,6.785274241642046,17.699382546000894,71.85696186799971,strict_long_window,2.891846185145664,ok
6 - Posterior Release,Posterior Release,1,True,ok,10.096449386029803,-30.9483822711989,0.9705412369387508,267.0,8.056233417195841,2.0398731216556194,10.09610653885146,6.080800183333405,71.82699186600014,strict_long_window,2.229416940778899,ok
6 - Posterior Release,Posterior Release,2,True,ok,7.571595273079063,-9.37738332537528,0.9869311810669906,88.0,9.420915756760248,1.1005659581486578,10.521481714908909,5.81694,71.56011153733382,strict_long_window,2.0935280571899155,ok
6 - Posterior Release,Posterior Release,3,True,ok,7.96358082090187,3.730626232427166,0.9927275232994084,92.0,8.101559900431381,1.0480354635327551,9.149595363964137,15.4548038223311,79.27174298000091,strict_long_window,2.3631352458779613,ok
6 - Posterior Release,Posterior Release,4,True,ok,8.096347723143687,-3.2996728481145583,0.9720434269023732,24.0,2.165644869291568,1.9348146622831883,4.1004595315747565,11.3314216533339,28.028173700000167,strict_long_window,1.2758827866790938,ok
6 - Posterior Release,Posterior Release,6,True,ok,3.239457156109768,12.246207415102033,0.9512138923372784,29.0,3.620943763644438,1.0608103191643623,4.6817540828088005,15.592921430667156,26.505728449999744,fallback_best_r2,1.0728828244133992,ok
6 - Posterior Release,Posterior Release,7,False,no_valid_linear_window,,,,,,,,,,,1.008855442635456,ok
6 - Posterior Release,Posterior Release,8,False,too_few_points_after_toe_cut,,,,,,,,,,,,
6 - Posterior Release,Posterior Release,9,True,ok,8.326492557753438,-0.9754279468795763,0.9922965568489251,113.0,9.625915482427084,1.089352441022983,10.715267923450067,12.1639084433332,92.57559136933308,strict_long_window,2.506099801295725,ok
6 - Posterior Release,Posterior Release,10,True,ok,11.48547780091656,-45.55902965652653,0.9919343183900512,69.0,5.986391809197429,6.809986223708463,12.796378032905892,38.84297283499967,101.67653505999962,strict_long_window,2.2617344301579463,ok
6 - Posterior Release,Posterior Release,11,True,ok,8.224271672639102,34.3694297720457,0.9598180807966744,25.0,2.6122324572184743,1.0524709746770298,3.664703431895504,43.9722465463334,64.22829232399907,fallback_best_r2,2.6831507051239085,ok
6 - Posterior Release,Posterior Release,12,True,ok,8.46578155277834,45.64819389787913,0.9720477417274198,45.0,2.968477937551211,4.508306216815173,7.476784154366384,80.47730786533143,111.65618282499976,strict_long_window,3.420813764066782,ok
7 - SPO,SPO,1,True,ok,8.671297397993799,-22.00804522561845,0.9855899833646666,62.0,10.669263863734772,2.624324321790704,13.293588185525476,9.974237470000247,100.58646481166672,strict_long_window,2.270949162070428,ok
7 - SPO,SPO,2,True,ok,9.244360636499604,-25.280586817266745,0.9949612530493296,48.0,7.64588491982528,3.259398719768972,10.905283639594252,8.682077847666271,80.28071086599975,strict_long_window,2.304631802700829,ok
7 - SPO,SPO,3,True,ok,8.093673287788828,-16.20907493952225,0.9879849667515236,69.0,11.18792041939697,2.5791401316323035,13.767060551029276,8.29791058066792,96.59808616933364,strict_long_window,2.127442741468376,ok
7 - SPO,SPO,4,True,ok,2.6741243889192874,7.798437410867739,0.9708022121217048,31.0,3.788184925088025,4.49100445457564,8.279189379663665,19.935630521335835,30.91362279666595,strict_long_window,1.0,ok
7 - SPO,SPO,5,False,no_valid_linear_window,,,,,,,,,,,1.0,ok
7 - SPO,SPO,6,False,too_few_points_after_toe_cut,,,,,,,,,,,,
7 - SPO,SPO,7,False,too_few_points_after_toe_cut,,,,,,,,,,,,
7 - SPO,SPO,8,False,too_few_points_after_toe_cut,,,,,,,,,,,,
7 - SPO,SPO,9,False,too_few_points_after_toe_cut,,,,,,,,,,,,
7 - SPO,SPO,10,True,ok,3.123400582485692,-12.228143385993244,0.9707125481997456,25.0,4.934486924464082,3.279836605017319,8.214323529481401,0.0,12.629646947333862,strict_long_window,1.0,ok
7 - SPO,SPO,11,False,too_few_points_after_toe_cut,,,,,,,,,,,,
7 - SPO,SPO,12,False,too_few_points_after_toe_cut,,,,,,,,,,,,
7 - SPO,SPO,13,False,too_few_points_after_toe_cut,,,,,,,,,,,,
7 - SPO,SPO,14,True,ok,16.83654822779639,-50.92719374095469,0.970262036395574,20.0,2.0551901164879904,3.769921309705581,5.825111426193571,16.831149173663437,45.487370819664825,strict_long_window,2.0953102978167264,ok
7 - SPO,SPO,15,True,ok,3.364288457340224,15.101432315207989,0.972587689477402,29.0,6.483276253727414,2.986698453339353,9.469974707066768,23.62544348166868,50.712184529331616,strict_long_window,2.1188461640042817,ok
7 - SPO,SPO,16,True,ok,5.2775386433309,10.28085084777226,0.9702156683742088,39.0,8.032587635437562,1.1373293076197963,9.169916943057355,15.21048731366577,63.96540822566676,strict_long_window,2.412325812090461,ok
