file_name,intervention,cycle,F_preload_start_N,M_peak_Nm,F_peak_N,F_eng_N,th_ramp@2.0,th_eng@2.0,th_ramp@3.0,th_eng@3.0,th_ramp@4.0,th_eng@4.0,th_ramp@5.0,th_eng@5.0
3 - PUBF Left,PUBF Left,2,-0.2942507600005595,4.894609108073921,35.21301516599944,12.0,0.12447102352308352,0.02551335835124928,0.5737178262016164,0.4747601610297821,0.9634961662574091,0.8645385010855748,,
3 - PUBF Left,PUBF Left,3,2.1671335440003205,4.704559762632174,33.84575368800125,12.0,0.6854953248665527,0.05943441953590567,1.0697798614230458,0.44371895609239864,1.3424353343983286,0.7163744290676818,,
3 - PUBF Left,PUBF Left,4,5.061159040000007,3.540459663369992,25.470932829999942,12.0,0.9748354650939397,0.2703718125836381,1.4988687339475653,0.7944050814372637,,,,
3 - PUBF Left,PUBF Left,5,-0.6973577470001293,3.2841929050930236,23.62728708700017,12.0,0.5271862506248309,0.05020709489252273,1.3343040551997303,0.857324899467422,,,,
3 - PUBF Left,PUBF Left,6,3.717054721000075,2.9840013037809894,21.467635278999925,12.0,1.2426228414825717,0.10891904077897048,,,,,,
3 - PUBF Left,PUBF Left,7,3.0494648550003567,4.180327165544963,30.074296154999733,12.0,0.5872455740767141,0.05527155347332299,0.7970476073590653,0.26507358675567433,1.2060889647236008,0.6741149441202096,,
3 - PUBF Left,PUBF Left,8,1.353767999998828,6.143001086657996,44.19425242199997,12.0,-0.0687706161842641,-0.0485620964728514,0.3283823672766075,0.3485908869880202,0.7805691103377871,0.8007776300491998,0.9619081853381156,0.9821167050495283
3 - PUBF Left,PUBF Left,9,0.8325647039998991,7.074694857116917,50.8970853029994,12.0,1.3427231745209307,-0.0026577829842501046,1.852417392863849,0.5070364353586684,2.221260513140174,0.8758795556349933,2.451342050911601,1.1059610934064201
4 - FUF Left,FUF Left,1,-1.1864713936660762,7.103978404672945,51.1077583069996,12.0,1.0895970372500663,0.15559957243921638,1.5741364803267113,0.6401390155158613,1.825638872128973,0.8916414073181229,2.2325504298200536,1.2985529650092036
4 - FUF Left,FUF Left,2,-0.017897449333244775,7.019694650966748,50.501400366667255,12.0,1.672198671697268,0.024902491290479063,2.0108139181016447,0.3635177376948559,2.281023195453386,0.6337270150465975,2.7553351714830803,1.1080389910762911
4 - FUF Left,FUF Left,3,-3.0115976976669816,7.308815718116106,52.58140804400076,12.0,1.4195660977856424,0.4306567831725644,2.1911154568605307,1.2022061422474524,2.492335805010599,1.503426490397521,2.7815827089951037,1.7926733943820259
4 - FUF Left,FUF Left,4,0.8942364133331433,4.532180173640135,32.60561276000097,12.0,0.6040782334242216,0.007445838683117247,1.5468443188940373,0.950211924152933,2.477017567636767,1.8803851728956624,,
4 - FUF Left,FUF Left,5,2.3851683333333336,4.41326806443998,31.750129959999853,12.0,0.3543445554282869,0.1606209276936831,0.902796396834921,0.7090727691003171,1.9628518882762707,1.7691282605416667,,
