file_name,intervention,cycle,lag_s,theta0_deg,F_preload_start_N,theta_ref_deg,theta_ref_window_n,F_peak_raw_N,M_peak_raw_Nm,F_peak_dyn_N,M_peak_dyn_Nm,M_low_Nm,M_high_Nm,theta_low_deg,theta_high_deg,k_sec_Nm_per_deg,valid_secant
6 - Posterior Release,Posterior Release,2,10.816666666666654,-0.23912241805530993,2.84237,-0.016534061807578493,10,74.40248153733383,10.341944933689401,71.56011153733382,9.9468555036894,2.0,5.0,1.3158047299653848,2.925303492495345,1.8639343315084755,True
6 - Posterior Release,Posterior Release,3,10.816666666666654,-0.23912241805530993,1.2276083533330477,0.10253631764456558,10,80.49935133333396,11.189409835333421,79.27174298000091,11.018772274220126,2.0,5.0,-0.3127035473128723,1.22806981574891,1.9470741589395617,True
6 - Posterior Release,Posterior Release,4,10.816666666666654,-0.23912241805530993,9.057277253332915,0.24264783930690187,10,49.156310129999675,6.832727108069955,40.09903287666676,5.57376556985668,2.0,5.0,0.9800106874380811,3.731522881491575,1.0903095419615194,True
6 - Posterior Release,Posterior Release,6,10.816666666666654,-0.23912241805530993,4.342614586666658,0.03921529839376482,10,45.80838,6.36736482,41.465765413333344,5.763741392453335,2.0,5.0,0.35181995904593427,3.407035584897029,0.9819274209702585,True
6 - Posterior Release,Posterior Release,7,10.816666666666654,-0.23912241805530993,2.500339392333485,0.30331743975695147,10,50.68945280999985,7.045833940589978,48.18911341766636,6.698286765055625,2.0,5.0,-0.1805486324125583,3.075639120238498,0.9213227945954656,True
6 - Posterior Release,Posterior Release,8,10.816666666666654,-0.23912241805530993,17.239908864332296,2.5725626060583675,10,26.743633355333962,3.7173650363914206,9.503724491001666,1.3210177042492317,2.0,5.0,,,,False
6 - Posterior Release,Posterior Release,9,10.816666666666654,-0.23912241805530993,8.83497295333342,-0.14802647801466137,10,101.41056432266649,14.096068440850642,92.57559136933307,12.868007200337297,2.0,5.0,1.0412217074863617,2.245127652421815,2.4918890155998388,True
6 - Posterior Release,Posterior Release,10,10.816666666666654,-0.23912241805530993,3.1920055120005775,0.9896709039674151,10,104.8685405720002,14.576727139508028,101.67653505999962,14.133038373339947,2.0,5.0,-0.4364898203917361,0.4830515203768932,3.262496058624564,True
6 - Posterior Release,Posterior Release,11,10.816666666666654,-0.23912241805530993,3.0810492493340114,-0.3113725458794104,10,103.75153579999937,14.421463476199913,100.67048655066536,13.993197630542484,2.0,5.0,1.176859495468158,0.7906263472060984,,False
6 - Posterior Release,Posterior Release,12,10.816666666666654,-0.23912241805530993,2.8729787066675683,0.6140433324865651,10,116.24578698466715,16.158164390868734,113.37280827799958,15.758820350641942,2.0,5.0,0.23737273770336248,0.2157108163322617,,False
