file_name,intervention,n_cycles,n_valid,k_sec_med_Nm_per_deg,k_sec_q25_Nm_per_deg,k_sec_q75_Nm_per_deg,rank_k_sec,M_low_Nm,M_high_Nm,window
7 - SPO,SPO,16,3,1.0239117101877175,0.7721306718126545,1.2663154790591216,5.0,2.5,3.0,2.5-3.0
2 - Intact Holding Longer,"intact, but holding",9,2,1.30870793482297,1.111952622718286,1.5054632469276537,6.0,2.5,3.5,2.5-3.5
3 - PUBF Left,"PUBF, left",9,4,2.7442834835302032,2.3112828412511965,3.0686068387113243,1.0,2.5,3.5,2.5-3.5
4 - FUF Left,"FUF, left",9,5,2.5421829061537142,2.0357905456725183,2.598036530521395,2.0,2.5,3.5,2.5-3.5
5 - FBF,FBF,10,9,1.7054006419178116,1.3444615226933418,2.0297393410073807,4.0,2.5,3.5,2.5-3.5
6 - Posterior Release,Posterior Release,11,6,1.9634396695715184,1.617814475320785,2.3461123060908005,3.0,2.5,3.5,2.5-3.5
7 - SPO,SPO,16,4,1.4072689058279635,0.8436658658079661,2.2613110085060626,5.0,2.5,3.5,2.5-3.5
2 - Intact Holding Longer,"intact, but holding",9,2,1.8303839588790896,1.597916151615176,2.062851766143003,6.0,2.5,4.0,2.5-4.0
3 - PUBF Left,"PUBF, left",9,4,3.015689647291597,2.7290345978261157,3.194552869187047,1.0,2.5,4.0,2.5-4.0
4 - FUF Left,"FUF, left",9,8,2.4330590868165025,2.208257984980486,3.5037369484687524,2.0,2.5,4.0,2.5-4.0
5 - FBF,FBF,10,9,1.9283143728317673,1.5962992902455235,2.2726485297772054,5.0,2.5,4.0,2.5-4.0
6 - Posterior Release,Posterior Release,11,8,1.9423595693231395,1.6619931608933156,2.877538928405815,4.0,2.5,4.0,2.5-4.0
7 - SPO,SPO,16,6,2.417741100358813,1.2402075556506946,3.0292768664515233,3.0,2.5,4.0,2.5-4.0
2 - Intact Holding Longer,"intact, but holding",9,0,,,,,3.0,3.5,3.0-3.5
3 - PUBF Left,"PUBF, left",9,0,,,,,3.0,3.5,3.0-3.5
4 - FUF Left,"FUF, left",9,0,,,,,3.0,3.5,3.0-3.5
5 - FBF,FBF,10,5,1.5006750962607183,1.3792484216937564,1.5228927166400252,1.0,3.0,3.5,3.0-3.5
6 - Posterior Release,Posterior Release,11,2,1.0885658666491007,0.900787120262846,1.2763446130353555,3.0,3.0,3.5,3.0-3.5
7 - SPO,SPO,16,1,1.1922989174930354,1.1922989174930354,1.1922989174930354,2.0,3.0,3.5,3.0-3.5
2 - Intact Holding Longer,"intact, but holding",9,1,1.8713215367995506,1.8713215367995506,1.8713215367995506,5.0,3.0,4.0,3.0-4.0
3 - PUBF Left,"PUBF, left",9,3,2.5265365615220907,2.4680413946714195,2.8210081060063743,3.0,3.0,4.0,3.0-4.0
4 - FUF Left,"FUF, left",9,6,2.844839751064635,2.052444258113049,3.1983280314360885,1.0,3.0,4.0,3.0-4.0
5 - FBF,FBF,10,8,1.6922760949306959,1.6263140089974875,2.28539946376975,6.0,3.0,4.0,3.0-4.0
6 - Posterior Release,Posterior Release,11,8,2.0767167459641467,1.4094225600130534,2.5223816102134204,4.0,3.0,4.0,3.0-4.0
7 - SPO,SPO,16,6,2.635682529436594,1.6632824482716702,2.957921108847383,2.0,3.0,4.0,3.0-4.0
2 - Intact Holding Longer,"intact, but holding",9,0,,,,,3.5,4.0,3.5-4.0
3 - PUBF Left,"PUBF, left",9,0,,,,,3.5,4.0,3.5-4.0
4 - FUF Left,"FUF, left",9,2,1.5108643769649384,1.4981979000909393,1.5235308538389374,1.0,3.5,4.0,3.5-4.0
5 - FBF,FBF,10,3,1.253242798944133,1.0967117440579313,1.3231276245320591,2.0,3.5,4.0,3.5-4.0
6 - Posterior Release,Posterior Release,11,1,0.9186180494051783,0.9186180494051783,0.9186180494051783,4.0,3.5,4.0,3.5-4.0
7 - SPO,SPO,16,1,1.0331133064355877,1.0331133064355877,1.0331133064355877,3.0,3.5,4.0,3.5-4.0
