file_name,intervention,cycle,t_start_s,t_peak_s,lag_s,theta0_deg,F_preload_start_N,theta_ref_deg,theta_ref_window_n,theta_ref_mode,F_peak_raw_N,M_peak_raw_Nm,F_peak_dyn_N,M_peak_dyn_Nm,M_low_Nm,M_high_Nm,theta_low_deg,theta_high_deg,dtheta_secant_deg,k_sec_Nm_per_deg,secant_reason,valid_secant,gate_band_n,gate_n_up_m,gate_n_opposite,gate_opposite_ratio,gate_corr_theta_m,gate_radius_std_mm,gate_z_std_mm,pass_geometry_gate,pass_monotonicity_gate,pass_auto_exclusion,auto_exclusion_reason,k_sec_auto_Nm_per_deg
3 - PUBF Left,"PUBF, left",3,124.05173599999999,128.918541,12.24999999999999,-0.5725763592549218,2.1671335440003205,0.34990532242836925,5,force_zero_band,36.012887232001574,4.749019439284048,33.84575368800125,4.463239538836725,1.0,4.0,0.3182229539238798,1.2536108734878602,0.9353879195639804,3.2072255128101435,ok,True,76,54,12,0.2222222222222222,0.9864478411179247,0.04120612913259162,0.1982522148451882,True,True,True,ok,3.2072255128101435
3 - PUBF Left,"PUBF, left",4,153.785664,157.818967,12.24999999999999,-0.5725763592549218,5.061159040000007,0.24226777237756203,3,force_zero_band,30.53209186999995,4.026266954896894,25.470932829999942,3.3588519122920926,1.0,4.0,,,,,mhigh_not_reached_on_final_climb,False,92,60,14,0.23333333333333334,0.9653999872376453,0.026238439260782738,0.2650498088003477,True,True,True,ok,
3 - PUBF Left,"PUBF, left",5,179.219357,182.419447,12.24999999999999,-0.5725763592549218,-0.6973577470001293,0.07978421234300082,3,force_zero_band,22.92992934000004,3.0237697820658056,23.62728708700017,3.115730348162712,1.0,4.0,,,,,mhigh_not_reached_on_final_climb,False,53,38,2,0.05263157894736842,0.975952893996998,0.015159747115031727,0.2399616054298524,True,True,True,ok,
3 - PUBF Left,"PUBF, left",6,201.953081,206.486485,12.24999999999999,-0.5725763592549218,3.717054721000075,-0.0022917897624384898,10,preramp_median_fallback,25.18469,3.3211050703000002,21.467635278999925,2.8309370642417204,1.0,4.0,,,,,mhigh_not_reached_on_final_climb,False,78,49,6,0.12244897959183673,0.9728187022816347,0.013062246372724552,0.20978627562135185,True,True,True,ok,
3 - PUBF Left,"PUBF, left",7,230.753555,236.820347,12.24999999999999,-0.5725763592549218,3.0494648550003567,0.02404216554332006,3,force_zero_band,33.12376101000009,4.368030364388712,30.074296154999733,3.9658974339598148,1.0,4.0,,,,,mhigh_not_reached_on_final_climb,False,96,61,6,0.09836065573770492,0.8791041652677287,0.09163811481589663,0.1419196846925573,True,True,True,ok,
3 - PUBF Left,"PUBF, left",8,260.92096,264.08755099999996,12.24999999999999,-0.5725763592549218,1.353767999998828,0.6546454592076352,10,preramp_median_fallback,45.5480204219988,6.006417453048981,44.19425242199997,5.827896066889136,1.0,4.0,-0.2963737284031044,0.7105383902352497,1.006912118638354,2.979405992309335,ok,True,41,32,5,0.15625,0.9503373436388689,0.031281640887649,0.23461592156517613,True,True,True,ok,2.979405992309335
3 - PUBF Left,"PUBF, left",9,287.088016,291.921157,12.24999999999999,-0.5725763592549218,0.8325647039998991,-0.5489986066291164,10,preramp_median_fallback,51.7296500069993,6.821588946422998,50.8970853029994,6.711798638906531,1.0,4.0,2.1034747141942267,2.233132806416094,0.12965809222186708,,dtheta_too_small,False,33,26,9,0.34615384615384615,0.43895736781577016,0.1357786010695243,0.7289662576422039,True,True,True,ok,
4 - FUF Left,"FUF, left",1,44.66707033333332,49.33389433333332,17.53333333333332,-0.5970316501026847,-1.1864713936660762,-0.051773947414218535,10,preramp_median_fallback,49.921286913333525,6.583120105261292,51.1077583069996,6.739580087944038,1.0,4.0,0.22674587156007803,2.118284222948637,1.8915383513885589,1.5860106657619344,ok,True,46,35,0,0.0,0.9451061624229633,0.03857459431022953,0.09234070916279637,True,True,True,ok,1.5860106657619344
4 - FUF Left,"FUF, left",2,77.76756933333333,82.10106133333332,17.53333333333332,-0.5970316501026847,-0.017897449333244775,0.0808452758736129,3,force_zero_band,50.48350291733401,6.657259529708836,50.501400366667255,6.659619666352412,1.0,4.0,0.7693856757958975,2.374792518174141,1.6054068423782437,1.8686851960564783,ok,True,37,32,0,0.0,0.942329083523732,0.037312261137117025,0.28233751910058963,True,True,True,ok,1.8686851960564783
4 - FUF Left,"FUF, left",3,112.96813233333332,117.83524033333332,17.53333333333332,-0.5970316501026847,-3.0115976976669816,-0.2002520232489466,10,preramp_median_fallback,49.56981034633378,6.536770890371036,52.58140804400076,6.93391027876238,1.0,4.0,0.2451228110274086,2.444855031177117,2.1997322201497083,1.3638023630875524,ok,True,41,32,0,0.0,0.9438397253128286,0.0531582626577075,0.23794238458210248,True,True,True,ok,1.3638023630875524
