file_name,intervention,cycle,i0,pk,t_start_s,t_peak_s,rise_s,F_start_N,F_peak_N,theta_start_deg,theta_peak_deg,dtheta_deg,run_samples,transition_flag_raw,transition_flag
3 - PUBF Left,"PUBF, left",9,7212,7357,287.088016,291.921157,4.833141000000012,0.8325647039998991,51.7296500069993,-0.5567269401541873,2.250151820336252,2.8068787604904393,621,False,False
4 - FUF Left,"FUF, left",1,634,774,44.66707033333332,49.33389433333332,4.666823999999998,-1.1864713936660762,49.921286913333525,0.22557329162695844,3.2196006696548354,2.994027378027877,707,False,False
4 - FUF Left,"FUF, left",2,1567,1697,77.76756933333333,82.10106133333332,4.333491999999993,-0.017897449333244775,50.48350291733401,0.18411705344047608,3.5022868301199397,3.3181697766794636,646,False,False
4 - FUF Left,"FUF, left",3,2474,2620,112.96813233333332,117.83524033333332,4.867108000000002,-3.0115976976669816,49.56981034633378,-0.21069936660253608,3.286071081058653,3.4967704476611887,708,False,False
4 - FUF Left,"FUF, left",4,3634,3827,154.40229833333333,160.96890333333334,6.56660500000001,0.8942364133331433,33.49984917333412,-0.10625275901069031,2.755135130188515,2.8613878891992055,499,False,False
4 - FUF Left,"FUF, left",5,4610,4695,194.86958333333334,197.70296533333334,2.8333820000000003,2.3851683333333336,34.135298293333186,0.13802845169073508,2.1708008447082907,2.032772393017556,669,False,False
4 - FUF Left,"FUF, left",6,5440,5574,224.53671533333332,229.00343433333333,4.466719000000012,0.924458224666848,37.944296264333346,-0.4055490739603007,2.358741433577433,2.7642905075377335,671,False,False
4 - FUF Left,"FUF, left",7,6777,6946,274.7707763333333,280.40431533333333,5.633539000000042,5.6693445336671955,63.57021694000004,0.359160498288683,2.464566697869289,2.105406199580606,971,False,False
4 - FUF Left,"FUF, left",8,7901,8028,314.4047893333333,318.6382363333333,4.2334469999999556,5.4920052373335215,63.16976432666614,1.4735063167418854,2.313387742974048,0.8398814262321628,687,False,False
4 - FUF Left,"FUF, left",9,8719,8864,343.17192133333333,348.0053683333333,4.833446999999978,4.655109960000347,65.16012351999908,-0.8560162376520462,2.468816435415646,3.324832673067692,780,False,False
5 - FBF,FBF,1,613,728,45.68408599999999,49.51732099999999,3.833234999999995,0.9673579259998581,60.46047637099956,-0.18095972854699705,4.030761928672253,4.21172165721925,697,False,False
5 - FBF,FBF,2,1499,1620,79.08452099999998,83.11790899999998,4.033388000000002,1.7485283309998703,60.705863378999595,0.17393523357298785,4.066347163128931,3.8924119295559434,765,False,False
5 - FBF,FBF,3,2653,2772,120.65189499999998,124.61860999999999,3.9667150000000078,0.8057459499998544,69.87112330999935,0.13017189078201707,4.567060460623467,4.43688856984145,798,False,False
5 - FBF,FBF,4,3898,4135,163.41919199999998,171.319292,7.900100000000009,8.786169119999954,40.24648953199995,0.13278202226730085,3.409812491493822,3.2770304692265215,706,False,False
5 - FBF,FBF,5,4828,5006,195.18636299999997,201.11978499999998,5.933422000000007,2.866460477002332,37.74114769999966,-0.08529671570293462,2.86018114145517,2.945477857158105,799,False,False
5 - FBF,FBF,6,6078,6184,239.68719499999997,243.22048399999997,3.5332889999999963,3.1519291050010327,38.39860152000036,0.17503105016531822,3.074313426864925,2.8992823766996065,864,False,False
5 - FBF,FBF,7,7304,7447,287.021297,291.788032,4.766734999999983,1.9719901729986027,63.29927107199968,0.17829606646731866,2.6177327827051355,2.4394367162378168,648,False,False
5 - FBF,FBF,8,8201,8298,319.588439,322.821775,3.2333360000000084,4.246947240999074,69.40233172499957,1.147985237317092,4.517670129507583,3.369684892190491,688,False,False
5 - FBF,FBF,9,9079,9202,350.822252,354.98902400000003,4.166772000000037,4.238830852000022,76.09579271999974,-0.31240452983092215,2.7976007126748215,3.1100052425057436,746,False,False
6 - Posterior Release,Posterior Release,1,264,566,28.350098666666653,38.416920666666655,10.066822000000002,3.3050800000000002,75.13207186600015,-0.45646162592156986,3.9861278487525613,4.442589474674131,661,False,False
6 - Posterior Release,Posterior Release,2,1201,1326,60.850655666666654,65.75070266666665,4.900047000000001,2.84237,74.40248153733383,-0.06384765539370674,4.65071282742835,4.714560482822057,735,False,False
6 - Posterior Release,Posterior Release,3,2218,2348,97.51785766666664,101.91796666666664,4.4001090000000005,1.2276083533330477,80.49935133333396,-0.07787838987626,3.5519907971288096,3.6298691870050694,689,False,False
6 - Posterior Release,Posterior Release,4,3293,3419,135.08510266666664,139.28529666666665,4.20019400000001,9.057277253332915,49.156310129999675,0.16853963015404547,4.105585449720259,3.9370458195662135,549,False,False
6 - Posterior Release,Posterior Release,5,4110,4237,163.71898666666667,167.95238466666666,4.233397999999994,4.342614586666658,45.80838,0.06311863327684342,3.755630898448391,3.6925122651715476,546,False,False
6 - Posterior Release,Posterior Release,6,4861,4983,190.65282566666667,194.71947366666666,4.0666479999999865,2.500339392333485,50.68945280999985,0.6150509528201327,3.51544198775808,2.900391034937947,678,False,False
6 - Posterior Release,Posterior Release,7,5987,6135,231.85342466666665,236.78680266666666,4.933378000000005,8.83497295333342,101.41056432266649,0.2532356974005455,4.647469762909213,4.394234065508668,633,False,False
6 - Posterior Release,Posterior Release,8,6905,7052,264.3205786666667,269.2206546666667,4.900076000000013,3.1920055120005775,104.8685405720002,-0.17097562447165893,5.565003485116057,5.735979109587715,692,False,False
6 - Posterior Release,Posterior Release,9,7943,8015,305.55463066666664,314.8214066666667,9.26677600000005,3.0810492493340114,103.75153579999937,0.47468425973326833,3.899787256960087,3.4251029972268183,497,False,False
6 - Posterior Release,Posterior Release,10,8725,8885,346.3886576666667,351.92200866666667,5.533350999999982,2.8729787066675683,116.24578698466715,0.09095152244849386,3.9689227388397104,3.8779712163912166,547,False,False
7 - SPO,SPO,1,483,579,31.76702433333332,34.967008333333325,3.199984000000004,4.1053925299997545,104.69185734166648,-0.032738137025511205,5.863967937744009,5.89670607476952,602,False,False
7 - SPO,SPO,2,1304,1430,65.30086233333333,69.50100533333332,4.200142999999997,4.224799976666689,111.28842798133358,0.17162973301908213,6.482649256113772,6.31101952309469,706,False,False
7 - SPO,SPO,3,2325,2432,101.60154633333332,105.16817533333332,3.566629000000006,5.522545725999264,102.1206318953329,0.2937055813540448,6.34341353480086,6.049707953446815,796,False,False
7 - SPO,SPO,4,3977,4085,156.96903333333333,160.56910933333333,3.6000760000000014,6.364919966666757,43.19509526933343,5.457973832273517,9.415501337955225,3.9575275056817087,549,False,True
7 - SPO,SPO,5,4806,4899,184.60294933333333,187.70297933333333,3.100030000000004,12.162690000000001,26.39421339333336,6.041119069735199,8.282186238006254,2.241067168271055,199,True,True
7 - SPO,SPO,6,5477,5560,206.96994633333333,209.7365443333333,2.7665979999999877,7.795733052666138,28.838266760999257,4.70808592566151,8.638112279013013,3.9300263533515034,122,True,True
7 - SPO,SPO,7,6169,6304,236.1038003333333,240.6037323333333,4.499932000000001,3.8722143696681033,88.0305051789997,-0.7004514449167627,4.985320183620138,5.6857716285369015,709,False,False
7 - SPO,SPO,8,7191,7339,272.2709883333333,277.20437233333337,4.933384000000046,2.8946340550003544,97.1941688876647,-0.07775563874194619,5.0967041850651755,5.174459823807122,695,False,False
7 - SPO,SPO,9,8178,8298,305.2714863333333,309.2714963333333,4.000009999999975,2.6663934563333562,94.46901076333317,0.23652110452025737,5.020743014025088,4.784221909504831,594,False,False
