file_name,intervention,cycle,lag_s,theta0_deg,F_peak_N,M_peak_Nm,F_eng_N,M_low_Nm,M_high_Nm,theta_low_deg,theta_high_deg,k_sec_Nm_per_deg,valid_secant
4 - FUF Left,"FUF, left",7,17.53333333333332,-0.6200340572978378,37.944296264333346,5.274257180742334,12.0,2.0,5.0,0.7690332363237234,2.7757454180128303,1.494982702240246,True
4 - FUF Left,"FUF, left",8,17.53333333333332,-0.6200340572978378,63.57021694000004,8.836260154660005,12.0,2.0,5.0,0.009925127338282673,0.7926559699549335,3.832735132770635,True
4 - FUF Left,"FUF, left",9,17.53333333333332,-0.6200340572978378,63.16976432666614,8.780597241406593,12.0,2.0,5.0,-0.29234724869152545,0.17740921774466367,6.386287820068816,True
4 - FUF Left,"FUF, left",10,17.53333333333332,-0.6200340572978378,65.16012351999908,9.057257169279872,12.0,2.0,5.0,-0.0773866519289047,-0.3506619191942506,,False
5 - FBF,FBF,1,12.049999999999988,-0.5626318135630284,60.46047637099956,8.40400621556894,12.0,2.0,5.0,0.08004153911016756,1.1347488705707862,2.8443909608985365,True
5 - FBF,FBF,2,12.049999999999988,-0.5626318135630284,60.705863378999595,8.438115009680944,12.0,2.0,5.0,0.10616801568154069,1.201699899500667,2.738395882684601,True
5 - FBF,FBF,3,12.049999999999988,-0.5626318135630284,69.87112330999935,9.712086140089909,12.0,2.0,5.0,0.1643783811136523,1.4161371856033858,2.3966278401556114,True
5 - FBF,FBF,4,12.049999999999988,-0.5626318135630284,40.24648953199995,5.5942620449479925,12.0,2.0,5.0,0.27302716996741255,2.7251129899185624,1.22344820706959,True
5 - FBF,FBF,5,12.049999999999988,-0.5626318135630284,37.74114769999966,5.246019530299953,12.0,2.0,5.0,0.18452817069550687,2.3617179644139075,1.3779230495455934,True
5 - FBF,FBF,6,12.049999999999988,-0.5626318135630284,38.39860152000036,5.33740561128005,12.0,2.0,5.0,0.09405082202622428,2.396076795123432,1.303199892207871,True
5 - FBF,FBF,7,12.049999999999988,-0.5626318135630284,18.10650233999992,2.516803825259989,10.863901403999952,2.0,5.0,,,,False
5 - FBF,FBF,8,12.049999999999988,-0.5626318135630284,63.29927107199968,8.798598679007956,12.0,2.0,5.0,0.06047622319154285,0.4084536323442548,8.62124931415715,True
