file_name,intervention,cycle,lag_s,theta0_deg,F_preload_start_N,F_peak_raw_N,M_peak_raw_Nm,F_peak_dyn_N,M_peak_dyn_Nm,F_eng_dyn_N,M_low_Nm,M_high_Nm,theta_low_deg,theta_high_deg,k_sec_Nm_per_deg,valid_secant
5 - FBF,FBF,10,12.049999999999988,-0.5626318135630284,4.238830852000022,76.09579271999974,10.577315188079963,71.85696186799971,9.98811769965196,12.0,2.0,5.0,0.1148240170511015,1.4377851721763213,2.2676402767971267,True
6 - Posterior Release,Posterior Release,1,10.816666666666654,-0.23912241805530993,3.3050800000000002,75.13207186600015,10.44335798937402,71.82699186600014,9.98395186937402,12.0,2.0,5.0,0.12504588233493308,1.1309856035991483,2.982286052120249,True
6 - Posterior Release,Posterior Release,2,10.816666666666654,-0.23912241805530993,2.84237,74.40248153733383,10.341944933689401,71.56011153733382,9.9468555036894,12.0,2.0,5.0,0.09986092137708567,1.7093596839070455,1.8639343315084758,True
6 - Posterior Release,Posterior Release,3,10.816666666666654,-0.23912241805530993,1.2276083533330477,80.49935133333396,11.189409835333421,79.27174298000091,11.018772274220126,12.0,2.0,5.0,0.0888409867141129,1.6296143497758953,1.9470741589395617,True
6 - Posterior Release,Posterior Release,4,10.816666666666654,-0.23912241805530993,9.057277253332915,49.156310129999675,6.832727108069955,40.09903287666676,5.57376556985668,12.0,2.0,5.0,0.09535973680243386,2.8468719308559276,1.0903095419615194,True
6 - Posterior Release,Posterior Release,6,10.816666666666654,-0.23912241805530993,4.342614586666658,45.80838,6.36736482,41.465765413333344,5.763741392453335,12.0,2.0,5.0,0.027271907014887416,3.082487532865982,0.9819274209702586,True
6 - Posterior Release,Posterior Release,7,10.816666666666654,-0.23912241805530993,2.500339392333485,50.68945280999985,7.045833940589978,48.18911341766636,6.698286765055625,12.0,2.0,5.0,0.07360099521276639,3.329788747863823,0.9213227945954655,True
6 - Posterior Release,Posterior Release,8,10.816666666666654,-0.23912241805530993,17.239908864332296,26.743633355333962,3.7173650363914206,9.503724491001666,1.3210177042492317,5.702234694601,2.0,5.0,,,,False
6 - Posterior Release,Posterior Release,9,10.816666666666654,-0.23912241805530993,8.83497295333342,101.41056432266649,14.096068440850642,92.57559136933307,12.868007200337297,12.0,2.0,5.0,0.5533312197889433,1.757237164724396,2.4918890155998397,True
6 - Posterior Release,Posterior Release,10,10.816666666666654,-0.23912241805530993,3.1920055120005775,104.8685405720002,14.576727139508028,101.67653505999962,14.133038373339947,12.0,2.0,5.0,0.7163622854055764,1.6359036261742057,3.262496058624564,True
6 - Posterior Release,Posterior Release,11,10.816666666666654,-0.23912241805530993,3.0810492493340114,103.75153579999937,14.421463476199913,100.67048655066536,13.993197630542484,12.0,2.0,5.0,-0.11163538241643012,-0.4978685306784896,,False
6 - Posterior Release,Posterior Release,12,10.816666666666654,-0.23912241805530993,2.8729787066675683,116.24578698466715,16.158164390868734,113.37280827799958,15.758820350641942,12.0,2.0,5.0,-0.06281486702758149,-0.08447678839868228,,False
7 - SPO,SPO,1,10.73333333333332,-0.38795950363472725,4.1053925299997545,104.69185734166648,14.55216817049164,100.58646481166673,13.981518608821675,12.0,2.0,5.0,0.1913802025023828,1.531372799441796,2.238818338886422,True
7 - SPO,SPO,2,10.73333333333332,-0.38795950363472725,4.224799976666689,111.28842798133358,15.469091489405368,107.0636280046669,14.8818442926487,12.0,2.0,5.0,0.07825442090275467,1.0246400227772894,3.169955242406276,True
7 - SPO,SPO,3,10.73333333333332,-0.38795950363472725,5.522545725999264,102.1206318953329,14.194767833451275,96.59808616933364,13.427133977537377,12.0,2.0,5.0,0.10241886964629167,1.4456921659123838,2.2333504345981754,True
7 - SPO,SPO,4,10.73333333333332,-0.38795950363472725,6.364919966666757,43.19509526933343,6.004118242437347,36.830175302666674,5.119394367070668,12.0,2.0,5.0,0.06736976896500621,3.4067172382776962,0.8983791077654656,True
7 - SPO,SPO,5,10.73333333333332,-0.38795950363472725,12.162690000000001,26.39421339333336,3.668795661673337,14.231523393333358,1.9781817516733367,8.538914036000014,2.0,5.0,,,,False
7 - SPO,SPO,6,10.73333333333332,-0.38795950363472725,21.030043385667977,24.47525954666652,3.4020610769866466,3.4452161609985446,0.4788850463787977,2.067129696599127,2.0,5.0,,,,False
7 - SPO,SPO,7,10.73333333333332,-0.38795950363472725,21.030043385667977,26.011953380665958,3.615661519912568,4.981909994997981,0.6924854893047193,2.9891459969987886,2.0,5.0,,,,False
7 - SPO,SPO,8,10.73333333333332,-0.38795950363472725,22.246120014666,24.452470212333267,3.398893359514324,2.206350197667266,0.30668267747575,1.3238101186003597,2.0,5.0,,,,False
7 - SPO,SPO,9,10.73333333333332,-0.38795950363472725,20.846291999668466,24.25927,3.37203853,3.4129780003315346,0.4744039420460833,2.047786800198921,2.0,5.0,,,,False
7 - SPO,SPO,10,10.73333333333332,-0.38795950363472725,7.795733052666138,28.838266760999257,4.008519079778897,21.042533708333117,2.9249121854583033,12.0,2.0,5.0,,,,False
7 - SPO,SPO,11,10.73333333333332,-0.38795950363472725,21.72538333333377,23.840620056666747,3.313846187876678,2.115236723332977,0.2940179045432838,1.269142033999786,2.0,5.0,,,,False
7 - SPO,SPO,12,10.73333333333332,-0.38795950363472725,18.971196270000448,25.25143676333323,3.5099497101033195,6.280240493332784,0.872953428573257,3.76814429599967,2.0,5.0,,,,False
7 - SPO,SPO,13,10.73333333333332,-0.38795950363472725,18.971196270000448,23.378370553333127,3.2495935069133046,4.4071742833326795,0.6125972253832423,2.6443045699996075,2.0,5.0,,,,False
7 - SPO,SPO,14,10.73333333333332,-0.38795950363472725,3.8722143696681033,88.0305051789997,12.23624021988096,84.1582908093316,11.698002422497092,12.0,2.0,5.0,0.3851713207633724,1.2633499686468401,3.41616140090677,True
7 - SPO,SPO,15,10.73333333333332,-0.38795950363472725,2.8946340550003544,97.1941688876647,13.509989475385392,94.29953483266435,13.107635341740345,12.0,2.0,5.0,-0.3164790693493885,2.732732667271855,0.9838608332671007,True
7 - SPO,SPO,16,10.73333333333332,-0.38795950363472725,2.6663934563333562,94.46901076333317,13.131192496103312,91.80261730699982,12.760563805672975,12.0,2.0,5.0,0.3170431323495079,2.0148760231810803,1.7669583480213096,True
