file_name,intervention,cycle,s,e,i0_force,i0,pk,t_start_s,t_peak_s,rise_s,F_start_raw_N,F_peak_raw_N,F_peak_dyn_N,F_start_id_N,F_peak_id_N,theta_force_start_deg,theta_start_deg,theta_peak_deg,dtheta_deg,theta_force_start_raw_deg,theta_start_raw_deg,theta_preramp_med_deg,theta_preramp_open_frac,non_neutral_force_start_flag,non_neutral_preramp_window_flag,non_neutral_start_window_flag,run_samples,transition_flag_raw,transition_flag
3 - PUBF Left,"PUBF, left",5,4300,4776,4244,4248,4364,179.286071,183.152815,3.8667440000000113,-0.18414138000003927,21.90017428499997,22.08431566500001,-0.021682401455366238,21.645257958351625,-0.5189654679570159,-0.5038010712595706,0.7213949177661699,1.2251959890257407,-0.5084361175300541,-0.4827150340370011,-0.652395742221515,0.0,False,False,False,476,False,False
3 - PUBF Left,"PUBF, left",6,4943,5465,4883,4928,5025,203.286515,206.519882,3.233366999999987,7.661771415000528,24.99029001800048,17.32851860299995,7.08571323535492,24.883752099111767,-0.5525701597482077,-0.2118194274415733,1.1511983317576426,1.3630177591992159,-0.5944123058147797,-0.20864395566329735,-0.6788164654472316,0.0,False,False,False,522,False,False
3 - PUBF Left,"PUBF, left",7,5742,6343,5682,5643,5838,229.120168,236.853627,7.733458999999982,2.529628184000246,32.383936590000246,29.854308406,3.415426020255278,32.129032617711324,-0.601146769772799,-4.8009424597504624e-05,0.655938364095331,0.6559863735199285,-0.5576185894942551,-0.2845611775062347,-0.6907637496543162,0.0,False,False,False,601,False,False
3 - PUBF Left,"PUBF, left",8,6506,7107,6484,6492,6577,261.22069,264.05402699999996,2.833336999999972,4.659036989998327,44.7121648469982,40.05312785699987,4.618218479230262,44.638005161393394,0.08901073609070419,-0.005324049913035317,0.936581147792705,0.9419051977057403,-0.05833248829319755,0.18006555276048336,-0.41462100568428467,0.0,False,False,False,601,False,False
3 - PUBF Left,"PUBF, left",9,7255,7876,7210,7233,7359,287.821159,292.021212,4.2000529999999685,1.0624409209983756,51.591256492000284,50.52881557100191,2.458045877858932,51.11233278587441,-0.8595856621117999,0.0034259280227492243,1.6201486458148562,1.6167227177921069,-1.2690726049519157,0.03129001974334132,-0.42857461288115095,0.0,False,False,False,621,False,False
4 - FUF Left,"FUF, left",1,692,1402,635,680,782,46.16713033333332,49.567150333333316,3.400019999999998,7.6965253530004984,49.13194322300094,41.43541787000044,7.47548295981925,49.28423259101515,-0.4681923240721535,-0.049170737604907505,2.528654248590118,2.5778249861950253,-0.38102205070358314,-0.04488555174069988,-0.6304159797146827,0.0,False,False,False,710,False,False
4 - FUF Left,"FUF, left",2,1601,2249,1567,1590,1696,78.53474933333332,82.06776433333332,3.533014999999992,7.414889711998832,50.07542225099982,42.66053253900099,7.2456980258004755,49.71745121647055,-0.50519849900869,0.01828324756838205,2.7881554753214144,2.7698722277530323,-0.4212446262580343,-0.1549309440456983,-0.6521615243044043,0.0,False,False,False,648,False,False
4 - FUF Left,"FUF, left",3,2526,3237,2474,2512,2620,114.26823133333332,117.86821333333332,3.599981999999997,8.682691773333499,49.44167210666823,40.75898033333473,8.691643690730894,48.4251204076199,-0.6669605982768875,0.029219959340640155,2.5802906154954934,2.5510706561548533,-0.7449861449083639,0.07970410083748418,-0.7548013820627943,0.0,False,False,False,711,False,False
4 - FUF Left,"FUF, left",4,3677,4178,3631,3600,3829,153.30217433333334,161.06895933333334,7.766784999999999,2.638306109000076,33.26283865399984,30.624532544999767,2.64622146621522,32.91953808344418,-0.7507261049579783,-0.11693469851868682,2.0316817752784404,2.1486164737971274,-0.7452819835202773,-0.10773977250701545,-0.6806730970579227,0.0,False,False,False,501,False,False
4 - FUF Left,"FUF, left",5,4626,5329,4605,4603,4696,194.66958833333334,197.76966633333333,3.1000779999999963,3.638311116666563,33.266724960667176,29.62841384400061,3.2754924412986854,33.71240440584382,-0.4742104048114635,-0.4735408072071304,1.516275243417626,1.9898160506247564,-0.5070423748822737,-0.4813174034409456,-0.5948030321248656,0.0,False,False,False,703,False,False
