theta_deg_zhang_sign,moment_mts_centered_nm_zhang_sign,moment_mts_refit_cubic_nm,moment_paper_f0_nm,moment_paper_f500_nm,moment_diff_mts_minus_paper_f0_nm,moment_diff_mts_minus_paper_f500_nm
-7.068409962119867,-3.9152444889779554,-3.7795114023991685,-18.949220035850683,-31.318937469560453,15.033975546872728,27.4036929805825
-7.036820389545586,-3.8840601202404814,-3.741280210507048,-18.770992992265015,-31.08542867396979,14.886932872024534,27.20136855372931
-7.007880633275269,-3.8528757515030057,-3.7064863943813013,-18.60872206469253,-30.87251317292425,14.755846313189522,27.019637421421244
-6.981961315544758,-3.8216913827655317,-3.675510438005497,-18.464201210666047,-30.682633512869373,14.642509827900515,26.86094213010384
-6.957309469631291,-3.790507014028056,-3.646212181069237,-18.327458926669845,-30.502750498524605,14.53695191264179,26.71224348449655
-6.927574504621006,-3.75932264529058,-3.611083459060085,-18.16344088475573,-30.28669626784249,14.404118239465149,26.52737362255191
-6.898953388089275,-3.728138276553106,-3.5774875643576043,-18.006513952999036,-30.07968238215527,14.278375676445929,26.351544105602162
-6.870793128566959,-3.6969539078156304,-3.5446396090032333,-17.853017554236633,-29.87690552922881,14.156063646421003,26.17995162141318
-6.843093726054057,-3.6657695390781564,-3.512528850401261,-17.702904817539586,-29.67831883813419,14.037135278461431,26.012549299056033
-6.813041290999909,-3.6345851703406806,-3.4779134805319925,-17.54101460110543,-29.463836860355272,13.90642943076475,25.82925169001459
-6.779623894332284,-3.6034008016032066,-3.4396939749490256,-17.362184165449815,-29.226525980531314,13.758783363846607,25.623125178928106
-6.746768547969756,-3.572216432865731,-3.4023951870356886,-17.18757504147704,-28.994420000424114,13.61535860861131,25.422203567558384
-6.714471001647684,-3.541032064128257,-3.3659971512775724,-17.017098578054735,-28.767422830938184,13.47606651392648,25.226390766809928
-6.680310751842375,-3.509847695390781,-3.3277873888332006,-16.838045616851417,-28.528589432575572,13.328197921460635,25.01874173718479
-6.642937258501464,-3.478663326653307,-3.286320588706194,-16.64362259770445,-28.268762800082012,13.164959271051142,24.790099473428704
-6.605473843903896,-3.4474789579158314,-3.2451060023666773,-16.450269142015387,-28.009848368847205,13.002790184099556,24.562369410931375
-6.574271098963534,-3.4162945891783556,-3.211046796412787,-16.29039768059581,-27.795372103781993,12.874103091417453,24.379077514603637
-6.542788265128461,-3.3851102204408816,-3.176927561821184,-16.130164392367888,-27.580043856342694,12.745054171927006,24.194933635901812
-6.511025342398677,-3.353925851703406,-3.1427539230086543,-15.969593894727037,-27.36388824392472,12.615668043023632,24.009962392221315
-6.4788932888858,-3.322741482965932,-3.108436766077861,-15.80826531359585,-27.146328569146,12.48552383062992,23.82358708618007
-6.448622397495619,-3.291557114228456,-3.076339793430143,-15.657296783489887,-26.94238597910722,12.36573966926143,23.650828864878765
-6.421135110831413,-3.260372745490982,-3.0473889905626375,-15.521061171737067,-26.75804761569204,12.260688426246084,23.497674870201056
-6.392504416974607,-3.2291883767535063,-3.0174301818955995,-15.380016039394455,-26.566898769100018,12.15082766264095,23.337710392346512
-6.3627303159252,-3.1980040080160324,-2.9864866050151484,-15.234262952936824,-26.369041005805926,12.036258944920792,23.171036997789894
-6.334428137199902,-3.1668196392785566,-2.957272124713767,-15.096586457731615,-26.181835697831445,11.929766818453057,23.015016058552888
-6.308760011881418,-3.1356352705410826,-2.9309440387689483,-14.972454992897127,-26.01278501368961,11.836819722356044,22.877149743148525
-6.280460422411128,-3.104450901803607,-2.9021007831856513,-14.836401567061072,-25.82720730628055,11.731950665257465,22.722756404476943
-6.249891183327199,-3.073266533066133,-2.8711602553782996,-14.690380383150416,-25.62768995397301,11.617113850084284,22.55442342090688
-6.2181643533973325,-3.042082164328657,-2.8392843770756127,-14.53986237725407,-25.4216499956994,11.497780212925413,22.379567831370743
-6.18527993262153,-3.0108977955911813,-2.8064984680271765,-14.384958257041667,-25.209198139129345,11.374060461450487,22.198300343538165
-6.15132696288817,-2.9797134268537073,-2.772916295716707,-14.226196748178127,-24.991018933232425,11.246483321324419,22.01130550637872
-6.115379850012198,-2.9485290581162316,-2.7376583910090737,-14.05940733000295,-24.761322067524297,11.110878271886719,21.812793009408065
-6.07694504212537,-2.9173446893787576,-2.700296413042997,-13.882543747944808,-24.517197571664205,10.96519905856605,21.599852882285447
-6.03661416002282,-2.886160320641282,-2.6614627095314862,-13.698578743449435,-24.26265352348937,10.812418422808154,21.37649320284809
-5.998700330481665,-2.854975951903808,-2.6253014302964988,-13.527147533216382,-24.024873111559295,10.672171581312575,21.169897159655488
