file_name,intervention,cycle,F_start_N,F_eng_N,F_peak_N,theta_dist_start_deg,theta_dist_at_eng_deg,theta_eng_start_deg,M_start_Nm,M_eng_Nm,lag_s,theta0_deg,ramp_start_time_s,eng_time_s
3 - PUBF Left,"PUBF, left",2,-0.2942507600005595,12.0,34.91876440599888,0.500076300667611,0.5990339658394452,-0.09895766517183424,-0.040900855640077775,1.6867366161999595,12.24999999999999,-0.5923902805897615,99.65137099999998,101.75144499999999
3 - PUBF Left,"PUBF, left",3,2.1671335440003205,12.0,36.012887232001574,0.18118290249939883,0.8688447242489983,-0.6876618217495994,0.3012315626160445,1.6843598943981233,12.24999999999999,-0.5923902805897615,124.05173599999999,125.88525799999998
3 - PUBF Left,"PUBF, left",4,5.061159040000007,12.0,30.53209186999995,0.23265051440427809,0.6088821413456168,-0.3762316269413387,0.703501106560001,1.7903909785429704,12.24999999999999,-0.5923902805897615,153.785664,154.785703
3 - PUBF Left,"PUBF, left",5,-0.6973577470001293,12.0,22.92992934000004,0.07244450106834688,0.5494236568006551,-0.4769791557323082,-0.09693272683301798,1.6707247865589805,12.24999999999999,-0.5923902805897615,179.219357,181.119451
3 - PUBF Left,"PUBF, left",6,3.717054721000075,12.0,25.18469,0.060946800934033596,0.7653084373694719,-0.7043616364354383,0.5166706062190104,1.846860542387799,12.24999999999999,-0.5923902805897615,201.953081,204.053081
3 - PUBF Left,"PUBF, left",7,3.0494648550003567,12.0,33.12376101000009,0.016035426583186685,0.5342277857208684,-0.5181923591376817,0.4238756148450496,1.7158003258040475,12.24999999999999,-0.5923902805897615,230.753555,232.886958
3 - PUBF Left,"PUBF, left",8,1.353767999998828,12.0,45.5480204219988,0.5733434359548933,0.5270789195871955,0.046264516367697794,0.18817375199983707,1.7220857830666432,12.24999999999999,-0.5923902805897615,260.92096,261.75402299999996
3 - PUBF Left,"PUBF, left",9,0.8325647039998991,12.0,51.7296500069993,-0.5567269401541873,1.0926057742565085,-1.6493327144106957,0.11572649385598598,1.6904298684401506,12.24999999999999,-0.5923902805897615,287.088016,288.58796
4 - FUF Left,"FUF, left",1,-1.1864713936660762,12.0,49.921286913333525,0.22557329162695844,1.2613100446940115,-1.0357367530670532,-0.1649195237195846,1.7756112467552612,17.53333333333332,-0.6200340572978378,44.66707033333332,46.53375133333332
4 - FUF Left,"FUF, left",2,-0.017897449333244775,12.0,50.48350291733401,0.18411705344047608,1.831413233847265,-1.647296180406789,-0.0024877454573210235,1.678662289680033,17.53333333333332,-0.6200340572978378,77.76756933333333,78.86766933333332
4 - FUF Left,"FUF, left",3,-3.0115976976669816,12.0,49.56981034633378,-0.21069936660253608,1.403951949468908,-1.614651316071444,-0.4186120799757105,1.805677687625503,17.53333333333332,-0.6200340572978378,112.96813233333332,114.73497433333331
4 - FUF Left,"FUF, left",4,0.8942364133331433,12.0,33.49984917333412,-0.10625275901069031,0.5011917472180533,-0.6074445062287436,0.12429886145330692,1.7210595440746805,17.53333333333332,-0.6200340572978378,154.40229833333333,155.83562133333334
4 - FUF Left,"FUF, left",5,2.3851683333333336,12.0,34.135298293333186,0.13802845169073508,0.19822634119965782,-0.06019788950892274,0.3315383983333334,1.7457427,17.53333333333332,-0.6200340572978378,194.86958333333334,195.40302233333333
