file_name,intervention,cycle,i0,pk,t_start_s,t_peak_s,rise_s,F_start_N,F_peak_N,theta_start_deg,theta_peak_deg,dtheta_deg,run_samples,transition_flag_raw,transition_flag
3 - PUBF Left,"PUBF, left",9,6941,7084,287.088016,291.921157,4.833141000000012,0.8325647039998991,51.7296500069993,-1.0896782429409742,1.6068710664307972,2.6965493093717714,621,False,False
4 - FUF Left,"FUF, left",1,566,706,44.66707033333332,49.33389433333332,4.666823999999998,-1.1864713936660762,49.921286913333525,-0.31664857251330625,2.523733762717551,2.8403823352308573,707,False,False
4 - FUF Left,"FUF, left",2,1481,1611,77.76756933333333,82.10106133333332,4.333491999999993,-0.017897449333244775,50.48350291733401,-0.3536386683209792,2.7951194105879584,3.1487580789089376,646,False,False
4 - FUF Left,"FUF, left",3,2358,2504,112.96813233333332,117.83524033333332,4.867108000000002,-3.0115976976669816,49.56981034633378,-0.8028643608785815,2.591222277461521,3.3940866383401023,708,False,False
4 - FUF Left,"FUF, left",4,3483,3676,154.40229833333333,160.96890333333334,6.56660500000001,0.8942364133331433,33.49984917333412,-0.6970768829740794,2.083520720637355,2.780597603611435,499,False,False
4 - FUF Left,"FUF, left",5,4427,4512,194.86958333333334,197.70296533333334,2.8333820000000003,2.3851683333333336,34.135298293333186,-0.47407794271636067,1.4987089011831787,1.9727868438995393,669,False,False
4 - FUF Left,"FUF, left",6,5237,5371,224.53671533333332,229.00343433333333,4.466719000000012,0.924458224666848,37.944296264333346,-0.9852173427074624,1.693883821259568,2.6791011639670304,671,False,False
4 - FUF Left,"FUF, left",7,6509,6678,274.7707763333333,280.40431533333333,5.633539000000042,5.6693445336671955,63.57021694000004,-0.21701717058909897,1.7906201255586116,2.0076372961477107,971,False,False
4 - FUF Left,"FUF, left",8,7623,7750,314.4047893333333,318.6382363333333,4.2334469999999556,5.4920052373335215,63.16976432666614,0.9108896263081817,1.6451682007195538,0.7342785744113721,687,False,False
4 - FUF Left,"FUF, left",9,8409,8571,342.3386713333333,348.0053683333333,5.666696999999999,3.1109412220000214,65.16012351999908,0.626182539622766,1.8055865934537318,1.1794040538309658,780,False,False
