file_name,intervention,cycle,i0,pk,t_start_s,t_peak_s,rise_s,F_start_N,F_peak_N,theta_start_deg,theta_peak_deg,dtheta_deg,disp_start_mm,disp_peak_mm,ddisp_mm,run_samples,transition_flag_raw,transition_flag
3 - PUBF Left,"PUBF, left",2,2013,2156,99.65137099999998,104.41806599999998,4.766694999999999,-0.2942507600005595,34.91876440599888,0.4847985647773826,1.5993899923311605,1.114591427553778,1.1157957406373404,3.6811011226499293,2.565305382012589,519,False,False
3 - PUBF Left,"PUBF, left",3,2690,2836,124.05173599999999,128.918541,4.866805000000014,2.1671335440003205,36.012887232001574,0.17526505210827087,1.630910740936726,1.4556456888284552,0.4033840296428899,3.753648195993557,3.350264166350667,613,False,False
3 - PUBF Left,"PUBF, left",4,3537,3658,153.785664,157.818967,4.033302999999989,5.061159040000007,30.53209186999995,0.22493570677593477,1.980029498724439,1.7550937919485041,0.5177043039578465,4.557167948769655,4.039463644811808,549,False,False
3 - PUBF Left,"PUBF, left",5,4246,4342,179.219357,182.419447,3.2000899999999888,-0.6973577470001293,22.92992934000004,0.06970709946808096,1.4052902583544546,1.3355831588863736,0.16043546810907716,3.234367835538199,3.073932367429122,474,False,False
3 - PUBF Left,"PUBF, left",6,4888,5024,201.953081,206.486485,4.53340399999999,3.717054721000075,25.18469,0.05852410873245961,1.7294555680374903,1.6709314593050308,0.13469708038071632,3.980455588444001,3.845758508063285,519,False,False
3 - PUBF Left,"PUBF, left",7,5682,5837,230.753555,236.820347,6.066791999999992,3.0494648550003567,33.12376101000009,0.01495776976066665,1.230406245661046,1.2154484759003794,0.034426289599371544,2.831860793137038,2.7974345035376667,601,False,False
3 - PUBF Left,"PUBF, left",8,6483,6578,260.92096,264.08755099999996,3.1665909999999826,1.353767999998828,45.5480204219988,0.5552136165045525,1.485399346430527,0.9301857299259746,1.2778606073722751,3.4187441636790803,2.140883556306805,600,False,False
3 - PUBF Left,"PUBF, left",9,7211,7356,287.088016,291.921157,4.833141000000012,0.8325647039998991,51.7296500069993,-0.5418943705397987,2.1812598130930674,2.7231541836328663,-1.2472054879149852,5.020312735022751,6.267518222937736,621,False,False
4 - FUF Left,"FUF, left",1,635,775,44.66707033333332,49.33389433333332,4.666823999999998,-1.1864713936660762,49.921286913333525,0.21600959939910153,3.1196759163784753,2.9036663169793737,0.4971602815222282,7.180139036225114,6.682978754702886,707,False,False
4 - FUF Left,"FUF, left",2,1567,1697,77.76756933333333,82.10106133333332,4.333491999999993,-0.017897449333244775,50.48350291733401,0.17578702384465034,3.393738776535896,3.2179517526912456,0.4045853818796745,7.810912710588112,7.4063273287084375,646,False,False
4 - FUF Left,"FUF, left",3,2473,2619,112.96813233333332,117.83524033333332,4.867108000000002,-3.0115976976669816,49.56981034633378,-0.20739593985262883,3.1838335859558207,3.3912295258084493,-0.477335378291197,7.327802126928553,7.80513750521975,708,False,False
4 - FUF Left,"FUF, left",4,3633,3826,154.40229833333333,160.96890333333334,6.56660500000001,0.8942364133331433,33.49984917333412,-0.10596235720472402,2.6691516967499327,2.7751140539546566,-0.24387932520224198,6.143227952244649,6.387107277446891,499,False,False
4 - FUF Left,"FUF, left",5,4609,4694,194.86958333333334,197.70296533333334,2.8333820000000003,2.3851683333333336,34.135298293333186,0.13098162580392275,2.1024943388638704,1.9715127130599477,0.30146281526407126,4.839028822405198,4.537566007141127,669,False,False
